30075445, Morris Park Bake Shop, 1007, -73.856077, 40.848447, Morris Park Ave, 10462, Bronx, Bakery
40948000, V.I.P.'S Cafe, 131, -73.8791397, 40.8816195, East Gunhill Road, 10467, Bronx, American
40948100, Blue Sky Bakery, 53, -73.97696479999999, 40.6810951, 5 Avenue, 11217, Brooklyn, Bakery
40948218, People, 163, -73.98978799999999, 40.721203, Allen Street, 10002, Manhattan, American
40948231, China One, 2211, -73.8513981, 40.8344605, Westchester Avenue, 10462, Bronx, Chinese
40948330, Wd-50, 50, -73.9920178, 40.69516429999999, Clinton Street, 11201, Manhattan, American
40948362, Franchia, 12, -73.98137109999999, 40.7476039, Park Avenue, 10016, Manhattan, Korean
40948382, New Country House, 887, -73.96766149999999, 40.6837999, Fulton Street, 11238, Brooklyn, American
40948401, Europa Bakery & Pastry Shop, 2007, -73.985646, 40.61640939999999, 65 Street, 11204, Brooklyn, Italian
40948509, Golden Krust Caribbean Bakery & Grill, 1936, -73.9191268, 40.6303261, Ralph Avenue, 11236, Brooklyn, Caribbean
40948589, Deutsche Bank, 60, -74.0085357, 40.70620539999999, Wall Street, 10005, Manhattan, American
40948592, National Grid, 1, -73.9867043, 40.6932639, Metrotech, 11201, Brooklyn, American
40948625, Summer Garden, 10, -73.9777004, 40.7587372, West   50 Street, 10020, Manhattan, American
40948723, Paquitos, 143, -73.98528999999999, 40.728169, 1 Avenue, 10003, Manhattan, Mexican
40948853, Fresh Tortillas & Japanese Restaurant, 2123, -73.85586219999999, 40.8559515, Williamsbridge Road, 10461, Bronx, Asian
40948868, Salerno Pastry Cafe, 153-71, -73.814121, 40.7875934, Cross Island Parkway, 11357, Queens, Italian
40949185, Thelma On Clinton, 29, -73.9845338, 40.7203841, Clinton Street, 10002, Manhattan, American
40949396, Rock Center Cafe, 610, -73.9780165, 40.7582432, 5 Avenue, 10020, Manhattan, American
40949441, Sea Grill, 19, -73.9785267, 40.75829470000001, West   49 Street, 10020, Manhattan, Seafood
40949448, Brasserie 8 1/2, 9, -73.97480159999999, 40.76366770000001, West   57 Street, 10019, Manhattan, American
40949455, Naples  45  Restaurant, 200, -73.98919099999999, 40.736902, Park Avenue, 10003, Manhattan, Italian
40949462, Cucina & Company, 200, -73.98919099999999, 40.736902, Park Avenue, 10003, Manhattan, American
40949516, Bamboo Express Restaurant & Bakery, 772, -73.9598132, 40.6539719, Flatbush Avenue, 11226, Brooklyn, Caribbean
40949521, Cafe Centro, 200, -73.97656909999999, 40.7535209, Park Avenue, 10017, Manhattan, American
40949604, Cheesy Pizza, 2640, -73.96954819999999, 40.7971965, Broadway, 10025, Manhattan, Pizza
40949680, Spartan Souvlaki, 6818, -74.01482500000002, 40.630632, 8 Avenue, 11220, Brooklyn, Greek
40949724, Domino'S Pizza, 524, -122.3870832, 37.7606086, Beach   20 Street, 11691, Queens, Pizza
40949905, Ka Wah Bakery, 9, -73.9939727, 40.7146718, Eldridge Street, 10002, Manhattan, Bakery
40950193, Joe'S Bar & Grill, 257, -73.974643, 40.597046, Avenue U, 11223, Brooklyn, American
40950278, Coffee Shop Beer Sandwiches, 4340, -73.9308765, 40.74524479999999, 34 Street, 11101, Queens, Caf\u00e9/Coffee/Tea
40950312, Mani Mani Restaurant, 16324, -73.802357, 40.760627, Northern Boulevard, 11358, Queens, Korean
40950392, Tommy'S Tavern, 1041, -73.9552271, 40.7343059, Manhattan Avenue, 11222, Brooklyn, American
40950399, Pollos A La Brasa Mario, 8302, -73.88318319999999, 40.7496447, 37 Avenue, 11372, Queens, Latin
40950465, Kahlua'S Cafe & Restaurant, 2117, -73.939948, 40.797536, 3 Avenue, 10029, Manhattan, Mexican
40950482, Eamonn'S Bar And Grill, 9, -73.97852, 40.755251, East   45 Street, 10017, Manhattan, Irish
40950504, Eata Pita, 109, -73.976451, 40.7518315, East   42 Street, 10017, Manhattan, Mediterranean
40950507, Yummy Sushi, 30, -73.9793564, 40.7589426, Rockfeeller Plaza, 10020, Manhattan, Japanese
40950544, Le Pain Quotidien, 50, -73.978498, 40.776961, West 72 Street, 10023, Manhattan, Sandwiches
40950686, Red Lobster, 455, -73.8699847, 40.6509132, Gateway Drive, 11239, Brooklyn, Seafood
40951011, In Vino, 215, -73.98339829999999, 40.7239094, East    4 Street, 10009, Manhattan, Italian
40951165, Mooncake Foods, 28, -74.00424699999999, 40.7236143, Watts Street, 10013, Manhattan, Asian
40951329, Takahachi Tribeca, 145, -74.00791699999999, 40.716593, Duane Street, 10013, Manhattan, Japanese
40951377, Blimpie, 114, -73.977761, 40.750229, East   40 Street, 10016, Manhattan, Sandwiches
40951528, Bagelicious, 6401, -73.8491481, 40.7327145, 108 Street, 11375, Queens, Bagels/Pretzels
40951864, Fulton Ave Cafe, 1276, -73.9027904, 40.831415, Fulton Avenue, 10456, Bronx, American
40951870, Therapy, 348, -73.9869279, 40.7640466, West 52 Street, 10019, Manhattan, American
40951884, Guy & Gallard, 1001, -92.7224099, 41.7461242, 6 Avenue, 10018, Manhattan, American
40951896, Starbucks Coffee, 125, -73.97737130000002, 40.7515595, Park Avenue, 10017, Manhattan, Caf\u00e9/Coffee/Tea
40951901, Starbucks Coffee, 80, -74.0067882, 40.7060144, Pine Street, 10005, Manhattan, Caf\u00e9/Coffee/Tea
40952068, Kennedy Fried Chicken, 638, -73.9010311, 40.8310108, East  169 Street, 10456, Bronx, Chicken
40952129, La Villa, 261263, -73.9867428, 40.6691015, 5 Avenue, 11215, Brooklyn, Italian
40952198, Emack & Bolio'S, 389, -73.978256, 40.782798, Amsterdam Avenue, 10024, Manhattan, Ice
40952254, Dunkin' Donuts, 7016, -73.8958595, 40.7541052, Northern Boulevard, 11372, Queens, Donuts
40952333, Long Hing Kitchen, 104-22, -73.8361941, 40.6821637, Liberty Avenue, 11417, Queens, Chinese
40953735, Cucina And Co., 600, -73.97831409999999, 40.7576057, 5 Avenue, 10020, Manhattan, American
40954215, Agnanti Restaurant, 1906, -73.9178665, 40.7809771, Ditmars Boulevard, 11105, Queens, Greek
40954463, China Royal, 1377, -73.9995414, 40.6248077, 65 Street, 11219, Brooklyn, Chinese
40954549, Immaculee Bakery, 1411, -73.9495365, 40.6520059, Nostrand Avenue, 11226, Brooklyn, Bakery
40954700, Eastchester Cafe, 1695, -73.84516599999999, 40.8462736, Eastchester Road, 10461, Bronx, American
40954862, Subway, 8, -73.9808681, 40.7523419, East   41 Street, 10017, Manhattan, Sandwiches
40954991, Star On 18Th Diner Cafe, 128, -74.0062921, 40.7444729, 10 Avenue, 10011, Manhattan, American
40955061, Mimi'S Pizza, 1248, -73.95658929999999, 40.7784846, Lexington Avenue, 10028, Manhattan, Pizza/Italian
40955504, Bally Total Fitness, 80-02, -73.83116439999999, 40.7137862, Kew Gardens Road, 11415, Queens, Juice
40955648, City Center, 130, -73.97906739999999, 40.764092, West   56 Street, 10019, Manhattan, American
40955965, Farragut Cafe, 4215, -73.9360119, 40.6371479, Farragut Road, 11203, Brooklyn, American
40956001, Umi Sushi Japanese Cuisine, 118, -73.98189700000002, 40.7445947, East   31 Street, 10016, Manhattan, Japanese
40956188, Bagels On The Lane, 166, -74.11508669999999, 40.5733609, New Dorp Lane, 10306, Staten, Delicatessen
40956260, Joe & John Toto'S Restaurant, 809, -74.0827953, 40.57613509999999, Father Capodanno Boulevard, 10305, Staten, Italian
40956726, East Meets West, 421, -73.8495835, 40.5783868, Beach  129 Street, 11694, Queens, Chinese
40956772, Gorilla Coffee, 97, -73.9779721, 40.6796949, 5 Avenue, 11217, Brooklyn, Caf\u00e9/Coffee/Tea
40957025, M2M Mart, 2935, -73.9648709, 40.8073298, Broadway, 10025, Manhattan, Asian
40957398, Kuma Inn, 113, -73.98879389999999, 40.7194443, Ludlow Street, 10002, Manhattan, Thai
40957421, Rare Bar & Grill, 303, -73.97794669999999, 40.7484054, Lexington Avenue, 10016, Manhattan, American
40957726, Joe, 141, -74.00052079999999, 40.7333235, Waverly Place, 10014, Manhattan, Caf\u00e9/Coffee/Tea
40957761, Flatiron Lounge, 37, -73.993163, 40.74007, West   19 Street, 10011, Manhattan, American
40957772, Lulu'S Nurse Bettie, 106, -73.986863, 40.71882, Norfolk Street, 10002, Manhattan, American
40957903, Starbucks Coffee, 51-06, -73.9092703, 40.7521103, Northern Boulevard, 11377, Queens, Caf\u00e9/Coffee/Tea
40958032, Subway, 250, -73.98519780000001, 40.7221462, East Houston Street, 10002, Manhattan, Sandwiches
40958104, The Door, 16307, -73.7794049, 40.6787259, Baisley Boulevard, 11434, Queens, Caribbean
40958136, Nysb, , -73.8739659, 40.7769271, Laguardia Airport, 11369, Queens, American
40958138, Jet Rock Bar & Grill, , -73.8739659, 40.7769271, Laguardia Airport, 11369, Queens, American
40958170, Soho House, 2935, -74.00649949999999, 40.7398326, 9 Avenue, 10014, Manhattan, American
40958354, Delmar Pizzeria, 1668, -73.952384, 40.586155, Sheepshead Bay Road, 11235, Brooklyn, Pizza/Italian
40958613, City Diner, 2441, -73.9748245, 40.7911059, Broadway, 10024, Manhattan, American
40958741, Subway, 60-25, -73.9106254, 40.7448391, Roosevelt Avenue, 11377, Queens, Sandwiches
40958954, Elena-43- Restaurant, 8948, -73.7577288, 40.7182966, Francis Lewis Boulevard, 11427, Queens, Latin
40959012, Carvel Ice Cream, 1652, -74.0061578, 40.6090905, 86 Street, 11214, Brooklyn, Ice
40959046, Bar 13, 35, -73.9920185, 40.7345809, East   13 Street, 10003, Manhattan, American
40959121, Tempest Bar, 407, -73.995452, 40.750028, 8 Avenue, 10001, Manhattan, Irish
40959591, Ba Xuyen, 4222, -73.9996977, 40.6452763, 8 Avenue, 11232, Brooklyn, Vietnamese/Cambodian/Malaysia
40959634, Spuyten Duyvul, 359, -73.95597010000002, 40.7143141, Metropolitan Avenue, 11211, Brooklyn, American
40959649, Hale & Hearty Soups, 745, -73.9830374, 40.760636, 7 Avenue, 10019, Manhattan, Soups
40959910, Corner Donut Coffee Shop, 1933, -73.75260469999999, 40.6040565, Mott Avenue, 11691, Queens, American
40960423, El Maguey Y La Tuna, 321, -73.9829, 40.720935, East Houston Street, 10002, Manhattan, Mexican
40960520, Enrico'S Pastry Shop & Caffe, 1057, -73.85453079999999, 40.8491916, Morris Park Ave, 10461, Bronx, Bakery
40960529, El Sol Migueleno Restaurant, 5603, -74.0138182, 40.6415097, 5 Avenue, 11220, Brooklyn, Tex-Mex
40960698, Scorpion, 7516, -73.87990909999999, 40.7480778, Roosevelt Avenue, 11372, Queens, Spanish
40960782, Eastern Chinese Restaurant, 502, -73.97267049999999, 40.5797664, Neptune Avenue, 11224, Brooklyn, Chinese
40960987, Merchants Ny, 112, -73.9985481, 40.7404798, 7 Avenue, 10011, Manhattan, American
40961099, Kellys Bar, 31-04, -73.9265431, 40.7655738, Crescent Street, 11106, Queens, American
40961167, Wendy'S, 1601, -73.9281163, 40.6336165, Utica Avenue, 11234, Brooklyn, Hamburgers
40961218, Metropolitan Museum Of Art, 1000, -73.9629278, 40.7791655, 5 Avenue, 10028, Manhattan, American
40961259, Liberty Deli, 22, -73.9765819, 40.7572029, East 49 Street, 10017, Manhattan, Delicatessen
40961447, Meson Sevilla Restaurant, 344, -73.989693, 40.760276, West 46 Street, 10036, Manhattan, Spanish
40961506, Pipo'S No 2 Restaurant, 166, -73.939885, 40.79940879999999, East  118 Street, 10035, Manhattan, Mexican
40961538, Saidy'S Cafe/Deepdale Gardens Community, 5825, -73.722511, 40.7614159, Little Neck Packway, 11362, Queens, American
40961549, Popeyes Chicken & Biscuits, 722, -73.96006229999999, 40.6557787, Flatbush Avenue, 11225, Brooklyn, Chicken
40961620, Jk Bakery, 29-14, -73.82659559999999, 40.7715643, Union Street, 11354, Queens, Bagels/Pretzels
40961653, Flor De Mayo Restaurant, 2651, -73.9699438, 40.7978173, Broadway, 10025, Manhattan, Chinese/Cuban
40962072, Rarytas Manor, 55-09, -73.9084374, 40.7132341, Metropolitan Avenue, 11385, Queens, Eastern
40962159, Cafe Milano, 401, -74.10290859999999, 40.6310607, Forest Avenue, 10301, Staten, Italian
40962170, Subway, 2409, -74.1667278, 40.5887574, Richmond Avenue, 10314, Staten, Sandwiches
40962335, The Soul Spot, 302, -73.9888517, 40.6882484, Atlantic Avenue, 11201, Brooklyn, Soul
40962349, Great Wall, 3003, -73.8821102, 40.8685226, Webster Avenue, 10458, Bronx, Chinese
40962383, Applebee'S Neighborhood Grill & Bar, 95-25, -73.8636734, 40.7310956, Queens Boulevard, 11374, Queens, American
40962612, Cesca, 164, -73.97988939999999, 40.7802763, West   75 Street, 10023, Manhattan, Italian
40962928, Papa John'S, 2119, -73.9390504, 40.7915893, 1 Avenue, 10029, Manhattan, Pizza
40962951, The Ding Dong Lounge, 929, -73.962819, 40.798787, Columbus Avenue, 10025, Manhattan, American
40962966, Jade Linden Restaurant, 78-06, -73.85703029999999, 40.6701023, Linden Boulevard, 11414, Queens, Chinese
40962981, Mario'S Pizza, 1381, -73.99950319999999, 40.6247845, 65 Street, 11219, Brooklyn, Pizza
40963082, Clem'S, 264, -73.95863179999999, 40.7132015, Grand Street, 11211, Brooklyn, American
40963197, Village Diner, 8174, -73.8317631, 40.7068072, Lefferts Boulevard, 11415, Queens, American
40963282, Tipico Dominicano Restaurant, 10310, -73.8627399, 40.7507594, 39 Avenue, 11368, Queens, Latin
40963524, Cafe Duke, 1450, -73.9864939, 40.7547571, Broadway, 10018, Manhattan, American
40964100, El Rey De Los Tacos, 4906, -73.9153367, 40.7443454, 43 Avenue, 11377, Queens, Mexican
40964241, Ulysses, 91, -74.01010440000002, 40.7041181, Pearl Street, 10004, Manhattan, American
40964282, Buttermilk Bar, 577, -73.98964099999999, 40.664741, 5 Avenue, 11215, Brooklyn, American
40964289, Boat Bar, 175, -73.9908556, 40.6857721, Smith Street, 11201, Brooklyn, American
40964716, Old Carriage Inn, 312, -73.981183, 40.6676881, 7 Avenue, 11215, Brooklyn, American
40965047, Kings County Cafeteria, 451, -73.9462238, 40.656571, Clarkson Avenue, 11203, Brooklyn, American
40965048, Uncle Louie G'S Italian Ices & Ice Cream, 3138, -73.93369899999999, 40.602265, Avenue U, 11229, Brooklyn, Ice
40965133, Ho Won Bake Shoppe Inc., 146, -73.9961854, 40.7174595, Hester Street, 10013, Manhattan, Bakery
40965172, L'Aile Ou La Cuisse (L'A.O.C), 314, -74.0041141, 40.73275340000001, Bleecker St, 10014, Manhattan, French
40965177, La Gata Golosa #2, 89-01, -73.8777594, 40.7504548, 37 Avenue, 11372, Queens, Bakery
40965338, Hudson Diner, 468, -74.0065922, 40.7319077, Hudson Street, 10014, Manhattan, American
40965396, Cornerstyle, 1195, -73.9198364, 40.8348717, Walton Avenue, 10452, Bronx, American
40965496, Dunkin' Donuts, Baskin Robbins, 18151817, -73.9573289, 40.5987264, Avenue U, 11229, Brooklyn, Donuts
40965841, Cafe Viva, 2578, -73.97076919999999, 40.7954433, Broadway, 10025, Manhattan, Pizza
40965997, Bonsignour, 35, -74.00435999999999, 40.738323, Jane Street, 10014, Manhattan, American
40966018, Cange'S Italian Ices, 118, -74.0841949, 40.598206, Parkinson Ave, 10305, Staten, Ice
40966076, Welcome To The Johnson'S, 123, -73.9873574, 40.71956249999999, Rivington Street, 10002, Manhattan, American
40966216, Almond, 12, -73.9887419, 40.7400847, East   22 Street, 10010, Manhattan, French
40966222, Ateres Avrohom, 75, -73.96348669999999, 40.7039844, Ross Street, 11249, Brooklyn, Jewish/Kosher
40966724, Pongsri Thai Restaurant, 106, -73.9998681, 40.7162087, Bayard Street, 10013, Manhattan, Thai
40966842, Subway, 1503, -73.95377049999999, 40.5874759, Sheepshead Bay Road, 11235, Brooklyn, Sandwiches
40966966, Moonstruck, 244, -73.98146740000001, 40.75023590000001, Madison Avenue, 10016, Manhattan, American
40966972, Red Lobster, 5, -73.98751539999999, 40.7559449, Times Square, 10036, Manhattan, Seafood
40967098, Andrew & Frank'S Deli, 2802, -73.9145999, 40.775243, 23 Avenue, 11105, Queens, Delicatessen
40967188, Kennedy Fried Chicken, 1170, -73.91018439999999, 40.8308968, Webster Avenue, 10456, Bronx, Chicken
40967297, Pret A Manger, 205, -73.9736995, 40.7507837, East   42 Street, 10017, Manhattan, Sandwiches
40967336, Theater Cafe, 106-03, -73.8468717, 40.7100543, Metropolitan Avenue, 11375, Queens, American
40967378, Island Roti Shop & Bakery, 65, -74.0782899, 40.6383524, Victory Boulevard, 10301, Staten, Caribbean
40967394, Los Cuencanitos, 5418, -73.87993990000001, 40.7480746, Roosevelt Avenue, 11377, Queens, Latin
40968428, Mr. Dennehy'S, 63, -74.0045873, 40.7298397, Carmine Street, 10014, Manhattan, American
40968447, Caracas Arepa /To Go, 91, -73.9854223, 40.7269655, East 7 Street, 10009, Manhattan, Latin
40968567, L. I. C. Bar, 4558, -73.9529445, 40.7470487, Vernon Boulevard, 11101, Queens, Irish
40968682, Star Of Siam, 103-18, -73.8492959, 40.7099957, Metropolitan Avenue, 11375, Queens, Thai
40969008, Pia Pizzeria, 3682, -73.940978, 40.5942756, Nostrand Avenue, 11229, Brooklyn, Pizza/Italian
40969077, Boston Market, 273, -73.9980432, 40.74528, West   23 Street, 10011, Manhattan, American
40969233, 510 11St Bar, 510, -73.9812525, 40.7280546, East 11 Street, 10009, Manhattan, American
40969326, La Guarida Bar, 369, -74.00480569999999, 40.6545595, 36 Street, 11232, Brooklyn, Latin
40969350, Starbucks Coffee, 101-02, -73.8527703, 40.726212, Queens Boulevard, 11375, Queens, Caf\u00e9/Coffee/Tea
40969562, Cana Restaurant & Catering, 212-30, -73.7682949, 40.7552375, 48 Avenue, 11364, Queens, Korean
40969600, Evo Cocktail Lounge & Restaurant, 1306, -73.8536827, 40.8344702, Unionport Road, 10462, Bronx, American
40969723, Cold Stone Creamery, 253, -73.9885482, 40.7570301, West   42 Street, 10036, Manhattan, Ice
40969814, Vosges Haut-Chocolat, 126132, -73.9976111, 40.7223394, Spring Street, 10012, Manhattan, Ice
40969851, Angelo & Al'S Pizzeria, 6822, -115.2372343, 36.1836718, Fresh Meadows Lane, 11365, Queens, Pizza/Italian
40969899, Star Mountain Coffee, , -73.77813909999999, 40.6413111, Jfk Airport, 11430, Queens, American
40970116, Bamboo Garden Chinese Restaurant, 146-10, -73.80572699999999, 40.694783, Liberty Avenue, 11435, Queens, Chinese
40970176, Carvel Ice Cream, 13118, -73.76095029999999, 40.6790788, Merrick Boulevard, 11434, Queens, Ice
40970385, Sofia, 8406, -74.0307352, 40.6248996, 3 Avenue, 11209, Brooklyn, Italian
40970790, Pico Rico, 103-12, -73.8651843, 40.7574466, Northern Boulevard, 11368, Queens, Latin
40970875, Dunkin' Donuts, 43874399, -73.80637569999999, 40.9694808, White Plains Road, 10466, Bronx, Donuts
40970904, Merrion Square, 1840, -73.9472917, 40.7835743, 2 Avenue, 10128, Manhattan, American
40971149, Oh Taisho, 9, -73.9891267, 40.729435, St Marks Place, 10003, Manhattan, Japanese
40971294, Bocca Di Bacco, 191, -73.996099, 40.7429424, 7 Avenue, 10011, Manhattan, Italian
40971402, Bar    1849     Grill, 183, -74.0007959, 40.729197, Bleeker Street, 10012, Manhattan, American
40971550, Subway, 5114, -73.9210275, 40.6413138, Kings Plaza, 11234, Brooklyn, Sandwiches
40971800, Anthony'S, 22202, -73.7483769, 40.7352055, Union Turnpyke, 11364, Queens, Italian
40971873, Break Bar & Billards, 3208, -73.9243979, 40.7612179, Broadway, 11106, Queens, American
40972071, Soho Cafe And Grill, 22-15, -73.91115280000001, 40.7754551, 31 Street, 11105, Queens, American
40972083, Golden Krust Caribbean Bakery & Grill, 234-16, -73.72778, 40.690544, Linden Boulevard, 11411, Queens, Caribbean
40972155, Chai Thai Restaurant, 124, -73.9596404, 40.7178952, North    6 Street, 11249, Brooklyn, Thai
40972457, Carvel Ice Cream, 7400, -74.0277011, 40.6320906, 3 Avenue, 11209, Brooklyn, Ice
40972714, Tropical Bar, 302, -73.914487, 40.6988429, Irving Avenue, 11237, Brooklyn, Spanish
40972759, Gate Way Beer Garden, 3162, -73.87813799999999, 40.681694, Fulton Street, 11208, Brooklyn, Caribbean
40972873, Starbucks Coffee, 251, -73.9891559, 40.7571932, West   42 Street, 10036, Manhattan, Caf\u00e9/Coffee/Tea
40972897, Schiller'S Liquor Bar, 131, -73.986687, 40.719347, Rivington Street, 10002, Manhattan, American
40973003, The Patriot Saloon, 110, -74.0083173, 40.7148709, Chambers Street, 10007, Manhattan, American
40973369, Ushi Wakamaru, 136, -74.001491, 40.728041, West Houston Street, 10012, Manhattan, Japanese
40973500, Carvel Ice Cream, 2231, -73.9010977, 40.856359, Grand Concourse, 10453, Bronx, Ice
40973604, The Pizza Place, 4024, -73.8594916, 40.8890208, White Plains Road, 10466, Bronx, Pizza
40973710, Bagel Talk, 368, -73.9791994, 40.7823356, Amsterdam Avenue, 10024, Manhattan, Bagels/Pretzels
40973810, Blue Java Coffee Bar - Dodge Hall, 2960, -73.9631966, 40.8079381, Broadway, 10027, Manhattan, Caf\u00e9/Coffee/Tea
40974031, Ceci Restaurant, 78, -73.92664110000001, 40.8636451, Sherman Avenue, 10040, Manhattan, Spanish
40974392, Bayou, 1072, -74.0683798, 40.6168076, Bay Street, 10305, Staten, Cajun
40974644, Xo Creperie, 2027, -73.9466958, 40.5840221, Emmons Ave, 11235, Brooklyn, French
40974704, Eastside Cafe, 352, -73.97895620000001, 40.7369038, East   23 Street, 10010, Manhattan, American
40974766, Chikalicious Dessert Bar, 203, -73.98632649999999, 40.7296961, East 10 Street, 10003, Manhattan, Other
40974908, Les Amis, 31-17, -73.909849, 40.775858, Ditmars Boulevard, 11105, Queens, Greek
40975363, Fu Long Food Products, 68-28, -73.7947559, 40.7334906, Fresh Meadow Lane, 11365, Queens, Delicatessen
40975524, Barrio Chino, 253, -73.99004579999999, 40.718014, Broome Street, 10002, Manhattan, Mexican
40975656, Golden Dynasty Rest, 6316, -73.9808427, 40.6148178, Bay Parkway, 11204, Brooklyn, Chinese
40976304, Art Bar, 52, -74.0034447, 40.7384402, 8 Avenue, 10014, Manhattan, American
40976390, Mona'S Bakery & Cafe, 281, -73.98030589999999, 40.6053167, Kings Highway, 11223, Brooklyn, Bakery
40976804, Chipotle Mexican Grill, 150, -73.97424629999999, 40.7521067, East   44 Street, 10017, Manhattan, Mexican
40976902, Bay Club Restaurant, 2, -70.8071997, 41.6661815, Bay Club Drive, 11360, Queens, Continental
40976973, El Pasillo Restaurant, 37-69, -73.8632839, 40.75157, 103 Street, 11368, Queens, Latin
40977209, Waverly Restaurant, 385, -74.0062401, 40.7397546, 6 Avenue, 10014, Manhattan, American
40977354, R Bar, 451, -73.945829, 40.7196209, Meeker Avenue, 11222, Brooklyn, American
40977390, The John J O'Connor Residence, 5655, -73.90950099999999, 40.90614, Arlington Avenue, 10471, Bronx, American
40977393, Consolation Residence, 3103, -73.913619, 40.883266, Arlington Avenue, 10463, Bronx, American
40977437, La Caverna, 122124, -73.98632769999999, 40.7194306, Rivington Street, 10002, Manhattan, American
40977606, Mike'S Tavern, 88-14, -73.8499439, 40.679658, Liberty Avenue, 11417, Queens, American
40977865, Bobby Van'S Steakhouse, 131, -73.97094899999999, 40.759345, East 54 Street, 10022, Manhattan, Steak
40977888, Bar Matchless, 557, -73.95007919999999, 40.7222032, Manhattan Avenue, 11222, Brooklyn, American
40978159, Candle 79 Restaurant, 154, -73.958731, 40.774625, East   79 Street, 10075, Manhattan, Vegetarian
40978252, Talia'S Steakhouse, 668, -73.9721594, 40.7920758, Amsterdam Avenue, 10025, Manhattan, Steak
40978358, Paul Michael'S, 85-19, -73.824834, 40.7037772, 126 Street, 11415, Queens, Pizza
40978503, Baluchi'S, 275, -74.01099169999999, 40.7151804, Greenwich Street, 10007, Manhattan, Indian
40978571, Starlite Lounge, 1213, -73.97579120000002, 40.6236144, Mcdonald Avenue, 11230, Brooklyn, American
40978593, El Nuevo Bonao Restaurant, 123, -73.8959276, 40.6790922, Jamaica Avenue, 11207, Brooklyn, Latin
40978782, The Mark Bar, 1025, -73.9551106, 40.7339695, Manhattan Avenue, 11222, Brooklyn, American
40978834, 68 Jay Street Bar, 68, -73.9868281, 40.7028722, Jay Street, 11201, Brooklyn, American
40979118, Mug M Lounge Nyc, 446448, -73.9830695, 40.730644, East 13 Street, 10009, Manhattan, American
40979119, Dunkin' Donuts, 97, -74.07740559999999, 40.6438111, Stuyvesant Place, 10301, Staten, Donuts
40979259, Bai Sushi, 3703, -73.9132432, 40.7562983, Broadway, 11103, Queens, Japanese
40979431, Spicy Shallot, 7705, -73.8878704, 40.7435875, Woodside Avenue, 11373, Queens, Thai
40979519, Mr. Wedge, 673, -73.8849836, 40.8133771, Hunts Point Avenue, 10474, Bronx, American
40979620, Jack'S Coffee, 138, -74.00059519999999, 40.7344591, West 10 Street, 10014, Manhattan, Caf\u00e9/Coffee/Tea
40979852, L'Italiano Trattoria, 216-01, -73.761355, 40.748094, Horace Harding Expressway, 11364, Queens, Italian
40980061, John'S Luncheonette, 331, -73.87330879999999, 40.8789712, East Gun Hill Road, 10467, Bronx, American
40980062, Tokyo Sushi Japanese Restaurant, 1710, -74.12065419999999, 40.6132091, Victory Boulevard, 10314, Staten, Japanese
40980229, Sushi Mambo, 255, -74.002714, 40.7311167, Bleecker Street, 10014, Manhattan, Japanese
40980328, Clearview Park (Golf Course), 202-12, -73.7894214, 40.7865697, Willets Point Boulevard, 11360, Queens, American
40980377, Little Tonino'S Pizza & Cafe, 424, -73.977021, 40.6507397, Greenwood Avenue, 11218, Brooklyn, Pizza
40980389, Lunasa, 126, -73.9851944, 40.7271858, 1 Avenue, 10009, Manhattan, American
40980449, 72Nd Street Bagel, 130, -73.980096, 40.77763900000001, West   72 Street, 10023, Manhattan, Bagels/Pretzels
40980566, Subway, 154-01, -73.8097636, 40.7199334, Union Turnpike, 11367, Queens, Sandwiches
40980650, Isaacs Coffee Shop, 3001, -73.9462889, 40.624629, Avenue K, 11210, Brooklyn, Caf\u00e9/Coffee/Tea
40980680, System, 32-10, -73.9300844, 40.7542483, 37 Avenue, 11101, Queens, American
40980922, Bayside Marina Snack Bar, 2805, -73.78491559999999, 40.7887735, Cross Island Parkway, 11360, Queens, American
40980927, Grill Chicken, 30-01, -73.8345874, 40.7699357, Stratton Street, 11354, Queens, Middle
40980970, Dynasty Restaurant, 147-46, -73.81756759999999, 40.76527979999999, Northern Boulevard, 11354, Queens, Chinese
40981540, Falucka, 162, -74.0002545, 40.7285176, Bleecker Street, 10012, Manhattan, American
40981913, Seba Seba, 7928, -73.8863178, 40.7494074, 37 Avenue, 11372, Queens, Latin
40982266, Panini Express(Gate 8)/Martini Bar, 0, -73.790887, 40.6430002, Terminal One/Jfk Airport, 11430, Queens, Sandwiches
40982663, Starbucks Coffee, 6423, -73.9898506, 40.6191542, 18 Avenue, 11204, Brooklyn, Caf\u00e9/Coffee/Tea
40982677, Starbucks Coffee, 2, -74.0130866, 40.7045399, Broadway, 10004, Manhattan, Caf\u00e9/Coffee/Tea
40982756, City Coffee, 77-17, -73.8882687, 40.7494896, 37 Avenue, 11372, Queens, American
40983133, American Girl Cafe, 609, -73.9775997, 40.757691, 5 Avenue, 10017, Manhattan, American
40983620, Aurora, 70, -73.9647303, 40.7156863, Grand Street, 11249, Brooklyn, Italian
40983698, Yuca Bar & Restaurant, 111, -73.9836212, 40.7262059, Avenue A, 10009, Manhattan, Latin
40983831, Deutsche Bank- Exec Dining Room, 60, -74.0085357, 40.70620539999999, Wall Street, 10005, Manhattan, American
40983834, Deutsche Bank- Conference Center, 60, -74.0085357, 40.70620539999999, Wall Street, 10005, Manhattan, Caf\u00e9/Coffee/Tea
